Date,DOY_Z,DOY2_Z,Biweek,Station,Plate,GCM_LOG
2018-06-08,-2.0135797005186515,-1.86847361484684,1,CG1,1,9.35560087214564
2018-06-08,-2.0135797005186515,-1.86847361484684,1,CG2,1,9.271354873544334
2018-06-08,-2.0135797005186515,-1.86847361484684,1,CG3,1,9.29867790015515
2018-06-13,-1.8175452352127093,-1.7146717109662337,1,WK3,1,9.25086260413219
2018-06-13,-1.8175452352127093,-1.7146717109662337,1,WK4,1,9.512708274540097
2018-06-13,-1.8175452352127093,-1.7146717109662337,1,WK5,1,8.961693906956933
2018-06-13,-1.8175452352127093,-1.7146717109662337,1,WK6,1,8.458494835956953
2018-06-13,-1.8175452352127093,-1.7146717109662337,1,WK7,1,7.6433578791369525
2018-06-13,-1.8175452352127093,-1.7146717109662337,1,WK8,1,9.464892977807548
2018-06-13,-1.8175452352127093,-1.7146717109662337,1,WK10,1,9.335108602256561
2018-06-21,-1.5038900907232016,-1.4586843935476148,2,WK12,1,8.123787761487499
2018-06-21,-1.5038900907232016,-1.4586843935476148,2,WK13,1,8.934370880530631
2018-06-25,-1.3470625184784477,-1.3261195327415445,2,LL1,1,9.23037033421413
2018-06-25,-1.3470625184784477,-1.3261195327415445,2,LL2,1,8.991293852353978
2018-06-25,-1.3470625184784477,-1.3261195327415445,2,LL3,1,8.938924718269112
2018-06-25,-1.3470625184784477,-1.3261195327415445,2,WK6,1,8.916155529470181
2018-06-25,-1.3470625184784477,-1.3261195327415445,2,WK11,1,9.178001199908218
2018-06-13,-1.8175452352127093,-1.7146717109662337,1,CG4,1,9.123355146935497
2018-06-29,-1.1902349462336939,-1.1905072038709665,2,CG1,1,8.039541763366705
2018-06-29,-1.1902349462336939,-1.1905072038709665,2,CG3,1,9.043662986425723
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK1,1,7.846003659131717
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK2,1,7.884711279752506
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK3,1,8.879724827542619
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK5,2,8.92197059964637
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK6,2,8.394765462829398
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK8,2,8.932591948654272
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK9,2,9.354549173271694
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK11,2,8.163026941215147
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK12,3,8.371081142181652
2018-07-11,-0.7197522294994322,-0.765385408872189,3,WK13,2,8.877554049639102
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK1,2,8.844724425852114
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK2,2,8.211305799756214
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK5,2,9.268612804622249
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK6,2,9.078394101809565
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK7,2,8.208409068311306
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK8,3,8.605264146604569
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK9,2,9.129569692028449
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK10,2,8.547326656274576
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK11,2,8.115713659736125
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,WK13,2,8.845690003001954
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,CG1,2,8.124403854198878
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,CG2,2,7.7796928031015
2018-07-20,-0.3668901919487359,-0.4285449543671091,3,CG4,3,7.888939662677497
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK1,3,8.12587776128059
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK2,3,7.599654775007347
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK3,3,8.624549805782829
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK4,3,8.530876604056692
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK5,3,8.01016380614337
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK6,3,8.481284908981863
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK7,3,8.340775106391852
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK8,3,7.775980801643503
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK9,3,8.225061151194758
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK10,3,8.723733195881819
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK11,3,7.828327590996426
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK12,3,7.833837779040055
2018-07-31,0.06438563172433724,0.0041002774159211025,4,WK13,3,8.029449465198754
2018-08-01,0.10359252478552572,0.04457446264765957,4,CG1,3,7.629960810850791
2018-08-01,0.10359252478552572,0.04457446264765957,4,CG2,3,7.580369115427383
2018-08-01,0.10359252478552572,0.04457446264765957,4,CG3,3,7.552818173931751
2018-08-02,0.14279941784671418,0.08523911463342974,4,LL1,3,8.175469456182375
2018-08-02,0.14279941784671418,0.08523911463342974,4,LL2,3,7.194655932205421
2018-08-02,0.14279941784671418,0.08523911463342974,4,LL3,3,6.726289923183478
2018-08-09,0.4172476692750335,0.3752247476467088,5,WK1,3,7.7870011784526225
2018-08-09,0.4172476692750335,0.3752247476467088,5,WK2,4,8.248047402040045
2018-08-09,0.4172476692750335,0.3752247476467088,5,WK3,4,8.612211593930436
